Rank,University,Overall,Teaching,Research,Citations,Industry_income,International_outlook
1001+,Gaziantep University,10.7–22.1,17.3,9.0,15.6,34.7,23.8
1001+,University of Gdańsk,10.7–22.1,15.7,10.6,19.7,34.7,29.9
1001+,Gebze Technical University,10.7–22.1,21.0,14.1,19.4,36.7,27.5
1001+,Gifu University,10.7–22.1,23.5,11.8,16.9,38.5,23.1
1001+,GITAM University,10.7–22.1,16.7,7.7,15.0,35.2,19.6
1001+,Government College University Lahore,10.7–22.1,14.0,9.1,5.7,34.4,35.3
1001+,Grigore T. Popa University of Medicine and Pharmacy,10.7–22.1,17.6,7.7,14.5,34.6,41.2
1001+,University of Guadalajara,10.7–22.1,15.4,7.8,10.0,34.4,28.3
1001+,University of Guanajuato,10.7–22.1,16.4,8.7,13.5,34.6,35.7
1001+,Guangxi University,10.7–22.1,16.1,11.3,17.9,42.8,20.6
1001+,Gubkin Russian State University of Oil and Gas,10.7–22.1,17.8,11.5,8.2,61.5,22.8
1001+,University of Guilan,10.7–22.1,20.4,13.6,29.5,34.8,15.7
1001+,Gunma University,10.7–22.1,27.4,12.9,17.8,37.6,19.4
1001+,Hallym University,10.7–22.1,19.0,15.2,16.0,35.4,21.5
1001+,The Hashemite University,10.7–22.1,13.5,11.3,8.3,34.4,50.9
1001+,Université Hassan II de Casablanca,10.7–22.1,15.9,7.6,24.8,36.4,34.4
1001+,University of Havana,10.7–22.1,21.6,9.0,9.5,40.2,52.5
1001+,Helwan University,10.7–22.1,14.7,8.6,20.0,35.1,40.2
1001+,Hosei University,10.7–22.1,16.8,9.7,25.9,35.2,25.8
1001+,University of Hradec Králové,10.7–22.1,16.8,10.8,12.7,34.7,33.1
1001+,Huaqiao University,10.7–22.1,14.7,11.3,27.3,37.2,48.0
1001+,University of Hyogo,10.7–22.1,16.7,12.1,10.4,46.4,18.5
1001+,Ibaraki University,10.7–22.1,16.4,10.0,8.1,40.2,23.4
1001+,Ibn Tofaïl University,10.7–22.1,18.1,8.9,17.9,35.5,25.3
1001+,Imam Abdulrahman Bin Faisal University,10.7–22.1,21.1,8.0,15.3,34.8,73.2
1001+,Incheon National University,10.7–22.1,16.1,17.0,21.9,37.0,29.3
1001+,Universidad Industrial de Santander (UIS),10.7–22.1,14.5,9.9,35.1,34.7,38.7
1001+,IPB University,10.7–22.1,19.0,10.6,8.9,70.7,42.3
1001+,I-Shou University,10.7–22.1,15.1,17.0,13.3,45.3,35.2
1001+,Istanbul Medipol University,10.7–22.1,12.5,9.3,10.8,35.9,20.9
1001+,Ivane Javakhishvili Tbilisi State University,10.7–22.1,14.7,9.4,4.6,34.8,45.9
1001+,Ivan Franko National University of Lviv,10.7–22.1,21.6,7.9,4.3,34.4,36.6
1001+,Iwate University,10.7–22.1,19.5,9.8,12.0,42.1,22.4
1001+,Izmir Institute of Technology,10.7–22.1,19.4,11.0,29.4,38.9,30.4
1001+,Kagawa University,10.7–22.1,20.9,11.7,28.5,40.0,28.0
1001+,Kagoshima University,10.7–22.1,21.4,11.4,18.0,42.9,23.0
1001+,Kanagawa University,10.7–22.1,14.6,7.5,12.3,34.8,27.7
1001+,Kangwon National University,10.7–22.1,17.6,15.0,17.8,36.3,21.1
1001+,Kansai University,10.7–22.1,24.3,8.0,6.9,35.4,24.6
1001+,Kasetsart University,10.7–22.1,18.6,12.8,10.3,59.8,37.1
1001+,Kaunas University of Technology,10.7–22.1,16.5,11.4,5.6,38.9,30.4
1001+,Kazan National Research Technological University,10.7–22.1,17.8,8.4,10.5,49.0,25.2
1001+,Kharazmi University,10.7–22.1,28.0,12.7,21.2,44.7,17.1
1001+,Khon Kaen University,10.7–22.1,21.6,12.0,18.0,55.2,31.1
1001+,KIIT University,10.7–22.1,16.9,11.5,25.9,59.5,15.9
1001+,King Mongkut’s Institute of Technology Ladkrabang,10.7–22.1,17.8,19.5,6.7,82.0,19.6
1001+,King Mongkut's University of Technology North Bangkok,10.7–22.1,15.1,9.9,10.1,41.9,20.9
1001+,King Mongkut’s University of Technology Thonburi,10.7–22.1,17.3,16.7,23.6,74.0,29.2
1001+,Kitasato University,10.7–22.1,24.0,9.9,18.2,39.5,16.3
1001+,Kochi University,10.7–22.1,19.9,10.7,20.7,40.9,24.2
1001+,Kogakuin University,10.7–22.1,17.2,9.8,8.8,42.0,18.7
1001+,Kookmin University,10.7–22.1,18.2,10.4,16.4,38.4,29.3
1001+,Kwansei Gakuin University,10.7–22.1,15.4,9.0,13.4,35.3,32.3
1001+,Kyoto Institute of Technology,10.7–22.1,21.5,15.9,10.3,41.3,22.1
1001+,Kyushu Institute of Technology (Kyutech),10.7–22.1,18.7,12.4,31.0,47.4,29.3
1001+,Latvia University of Life Sciences and Technologies,10.7–22.1,17.4,17.6,5.2,36.9,16.6
1001+,University of León,10.7–22.1,17.9,11.2,25.4,36.7,43.4
1001+,University of Lethbridge,10.7–22.1,16.7,12.4,22.3,34.5,57.6
1001+,L.N. Gumilyov Eurasian National University,10.7–22.1,21.6,7.5,16.6,34.4,51.0
1001+,Lobachevsky State University of Nizhni Novgorod,10.7–22.1,25.6,11.6,12.4,43.7,28.6
1001+,University of Łódź,10.7–22.1,17.1,10.3,13.4,34.7,24.4
1001+,Lodz University of Technology,10.7–22.1,16.3,11.1,18.0,37.8,23.0
1001+,London South Bank University,10.7–22.1,15.4,10.4,18.1,34.8,75.3
1001+,Londrina State University,10.7–22.1,21.4,13.3,16.3,34.4,18.7
1001+,Maharaja Sayajirao University of Baroda,10.7–22.1,14.1,9.3,17.2,34.9,14.4
1001+,Mahasarakham University,10.7–22.1,18.5,8.0,11.0,35.5,26.1
1001+,Universiti Malaysia Sarawak (UNIMAS),10.7–22.1,17.8,8.5,10.2,34.7,39.5
1001+,Manipal Academy of Higher Education,10.7–22.1,24.1,11.6,9.3,40.3,31.5
1001+,University of Manouba,10.7–22.1,19.4,7.7,24.5,34.4,41.1
1001+,Marmara University,10.7–22.1,21.3,8.9,19.4,34.6,22.9
1001+,University of Marrakech Cadi Ayyad,10.7–22.1,18.0,8.5,22.7,35.4,41.1
1001+,Meiji University,10.7–22.1,17.7,8.6,11.3,35.6,25.9
1001+,Meijo University,10.7–22.1,15.6,10.0,11.6,35.5,26.2
1001+,Mendel University in Brno,10.7–22.1,18.4,14.7,7.3,36.0,39.2
1001+,Menoufia University,10.7–22.1,15.0,7.9,24.9,36.5,35.2
1001+,M’Hamed Bougara University of Boumerdès,10.7–22.1,13.3,7.0,11.1,34.5,29.2
1001+,Universidad Michoacana de San Nicolás de Hidalgo,10.7–22.1,13.4,10.2,11.3,35.4,29.8
1001+,Mie University,10.7–22.1,20.9,11.8,20.7,43.7,20.5
1001+,Ming Chuan University,10.7–22.1,13.6,11.1,10.3,35.0,30.4
1001+,Minia University,10.7–22.1,15.5,7.2,23.5,34.5,45.0
1001+,MIREA - Russian Technological University,10.7–22.1,15.1,9.6,4.3,58.4,17.5
1001+,University of Miyazaki,10.7–22.1,20.5,9.9,21.1,36.3,23.1
1001+,Mohammed V University of Rabat,10.7–22.1,28.2,9.9,16.7,41.6,27.8
1001+,University of Monastir,10.7–22.1,20.5,8.9,12.5,34.4,43.2
1001+,University of Montenegro,10.7–22.1,12.6,9.7,15.2,34.8,43.8
1001+,Moscow Aviation Institute,10.7–22.1,24.1,11.7,3.0,64.6,23.5
1001+,Moscow Power Engineering Institute,10.7–22.1,18.7,10.7,5.8,56.5,27.4
1001+,Multimedia University,10.7–22.1,16.5,9.6,11.4,37.4,37.1
1001+,University of Mumbai,10.7–22.1,31.1,10.2,17.2,35.0,17.6
1001+,University of Mysore,10.7–22.1,31.3,8.2,8.4,34.8,30.6
1001+,Nagaoka University of Technology,10.7–22.1,24.7,14.6,11.7,41.7,32.8
1001+,Nagasaki University,10.7–22.1,25.9,14.4,23.3,39.0,27.8
1001+,Nagoya City University,10.7–22.1,23.2,14.0,27.7,45.5,19.4
1001+,Nagoya Institute of Technology,10.7–22.1,18.8,19.4,12.8,49.0,22.7
1001+,Nanjing University of Aeronautics and Astronautics,10.7–22.1,20.8,21.1,19.8,65.5,18.4
1001+,Nara Medical University,10.7–22.1,24.8,11.0,21.2,39.3,15.3
1001+,Naresuan University,10.7–22.1,16.7,7.8,12.6,34.9,35.9
1001+,National Changhua University of Education,10.7–22.1,20.3,18.6,12.1,37.4,24.3
1001+,National Chiayi University,10.7–22.1,14.8,12.1,8.2,65.6,18.0
1001+,National Chin-Yi University of Technology,10.7–22.1,14.0,19.4,4.4,44.7,16.9
1001+,National Chung Cheng University,10.7–22.1,19.1,18.3,13.7,41.3,21.2
1001+,National Chung Hsing University,10.7–22.1,20.8,16.5,19.0,47.1,24.2
1001+,National University of Colombia,10.7–22.1,19.0,14.5,26.1,35.4,35.7
1001+,National University of Córdoba,10.7–22.1,20.6,9.2,21.2,35.1,34.3
1001+,National University of Cuyo,10.7–22.1,18.0,7.1,25.7,34.4,37.2
1001+,National University of Kaohsiung,10.7–22.1,13.6,16.1,6.1,38.6,25.5
1001+,Instituto Politécnico Nacional (IPN),10.7–22.1,17.6,9.0,10.7,40.4,21.8
1001+,National Research Saratov State University,10.7–22.1,20.7,11.7,25.7,38.1,29.7
1001+,National University of San Martín,10.7–22.1,16.5,8.8,31.9,35.0,39.1
1001+,National University of the South,10.7–22.1,16.4,7.4,7.7,35.8,25.9
1001+,National Taipei University,10.7–22.1,19.5,14.9,25.3,35.8,25.1
1001+,National Taiwan Ocean University,10.7–22.1,18.5,21.5,17.1,52.8,29.9
1001+,National Technical University Kharkiv Polytechnic Institute,10.7–22.1,19.6,7.8,5.4,34.9,27.5
1001+,National Yunlin University of Science and Technology,10.7–22.1,17.2,26.4,7.3,89.9,18.7
1001+,Nicolaus Copernicus University in Toruń,10.7–22.1,18.8,10.5,22.3,35.4,25.9
1001+,University of Nigeria Nsukka,10.7–22.1,23.0,8.6,18.6,35.2,23.8
1001+,Slovak University of Agriculture in Nitra,10.7–22.1,17.7,8.4,9.7,36.2,37.5
1001+,University of North Carolina Wilmington,10.7–22.1,15.9,7.7,23.3,35.1,26.5
1001+,North China Electric Power University,10.7–22.1,17.3,11.9,28.5,55.9,16.6
1001+,"University of the North, Colombia",10.7–22.1,15.0,10.9,11.5,36.7,51.4
1001+,University of North Florida,10.7–22.1,24.8,10.5,25.7,34.6,24.0
1001+,Novosibirsk State Technical University,10.7–22.1,20.5,12.6,14.9,38.2,34.6
1001+,Oakland University,10.7–22.1,25.5,12.7,24.5,35.3,28.9
1001+,Ocean University of China,10.7–22.1,20.3,15.6,26.1,44.7,23.0
1001+,Ochanomizu University,10.7–22.1,23.3,12.7,13.0,37.8,23.9
1001+,Oita University,10.7–22.1,19.4,9.2,20.4,37.5,17.9
1001+,Ondokuz Mayis University,10.7–22.1,15.5,8.9,6.7,38.4,22.1
1001+,Osaka Medical College,10.7–22.1,27.2,10.3,12.4,36.5,15.4
1001+,Osaka Prefecture University,10.7–22.1,22.4,13.5,20.2,41.5,22.4
1001+,University of Ostrava,10.7–22.1,16.7,13.5,29.2,34.5,40.4
1001+,University of Pardubice,10.7–22.1,17.8,15.4,10.3,35.5,28.2
1001+,Paris Nanterre University,10.7–22.1,23.8,16.8,13.9,34.7,50.9
1001+,Perm National Research Polytechnic University,10.7–22.1,19.3,10.5,2.1,54.9,20.3
1001+,Perm State University,10.7–22.1,18.1,9.7,3.3,37.9,18.5
1001+,University of Peshawar,10.7–22.1,25.2,10.7,15.0,34.4,34.2
1001+,Pirogov Russian National Research Medical University,10.7–22.1,23.2,9.5,3.5,37.9,21.0
1001+,PMAS Arid Agriculture University Rawalpindi,10.7–22.1,13.9,8.8,19.1,34.4,34.7
1001+,Polytechnic University of Bucharest,10.7–22.1,16.8,10.0,12.9,34.4,21.4
1001+,Polytechnic University of Timişoara,10.7–22.1,14.2,8.2,17.1,35.5,20.0
1001+,Universidad Pontificia Bolivariana (UPB),10.7–22.1,17.5,8.9,7.8,34.7,35.2
1001+,Pontifical Catholic University of Minas Gerais,10.7–22.1,15.3,7.7,6.7,35.1,19.4
1001+,Pontifícia Universidade Católica do Paraná,10.7–22.1,17.4,10.2,23.7,35.9,27.1
1001+,Pontifical Catholic University of Valparaíso,10.7–22.1,17.3,15.9,16.0,50.0,48.6
1001+,Prince of Songkla University,10.7–22.1,18.1,10.1,17.6,35.4,32.6
1001+,PSG College of Technology,10.7–22.1,19.8,9.5,12.8,34.9,13.6
1001+,Riga Technical University,10.7–22.1,19.5,17.5,20.1,55.5,43.0
1001+,Universidade do Estado do Rio de Janeiro (UERJ),10.7–22.1,24.2,10.9,15.2,38.1,21.6
1001+,Ritsumeikan University,10.7–22.1,19.1,13.2,16.6,36.8,33.6
1001+,Robert Gordon University,10.7–22.1,16.8,11.3,23.3,35.2,75.0
1001+,University of the Ryukyus,10.7–22.1,19.2,11.8,15.1,45.2,26.7
1001+,Saga University,10.7–22.1,21.5,12.4,18.8,47.6,22.9
1001+,Saitama University,10.7–22.1,19.1,13.0,22.8,36.4,31.7
1001+,Saitama Medical University,10.7–22.1,23.6,9.6,28.0,38.1,15.1
1001+,Samara National Research University (Samara University),10.7–22.1,18.3,12.4,31.0,46.6,30.2
1001+,Universidade do Estado de Santa Catarina,10.7–22.1,18.1,9.3,19.6,34.5,16.0
1001+,"University of Santiago, Chile (USACH)",10.7–22.1,16.2,14.2,12.1,38.1,45.6
1001+,University of Sargodha,10.7–22.1,11.7,8.3,10.5,34.4,39.5
1001+,SASTRA University,10.7–22.1,17.0,11.9,31.9,34.9,14.0
1001+,Sathyabama Institute of Science and Technology,10.7–22.1,18.3,9.0,10.2,35.0,15.8
1001+,University of Sciences and Technology Houari Boumediene,10.7–22.1,16.1,7.5,8.1,34.9,35.6
1001+,University of Science and Technology of Oran Mohamed-Boudiaf,10.7–22.1,18.9,7.1,7.1,34.8,38.3
1001+,Sechenov University,10.7–22.1,24.5,10.0,2.6,37.8,36.7
1001+,Selçuk University,10.7–22.1,15.5,8.5,17.7,34.7,19.8
1001+,Semnan University,10.7–22.1,16.9,9.9,39.3,34.4,16.5
1001+,Seoul National University of Science and Technology (SeoulTech),10.7–22.1,17.7,13.5,15.7,39.4,21.5
1001+,University of Sfax,10.7–22.1,28.9,10.4,17.3,34.4,39.7
1001+,Shahed University,10.7–22.1,19.3,11.6,10.6,37.2,14.5
1001+,Shahid Bahonar University of Kerman,10.7–22.1,17.8,13.7,15.1,41.6,15.1
1001+,Shahid Chamran University of Ahvaz,10.7–22.1,27.2,18.4,16.2,66.2,16.3
1001+,Shahrekord University,10.7–22.1,15.6,11.1,35.5,34.8,15.6
1001+,Shahrood University of Technology,10.7–22.1,17.7,13.8,27.8,35.9,18.2
1001+,Shibaura Institute of Technology Tokyo,10.7–22.1,16.4,12.5,10.0,41.3,39.3
1001+,Shiga University of Medical Science,10.7–22.1,25.5,10.2,27.2,42.3,20.0
1001+,Shimane University,10.7–22.1,21.5,11.2,14.8,37.8,20.7
1001+,Shinshu University,10.7–22.1,21.5,14.4,27.9,40.8,24.5
1001+,Shiraz University of Medical Sciences,10.7–22.1,16.2,10.7,20.7,35.1,16.5
1001+,Shizuoka University,10.7–22.1,17.7,13.4,14.7,38.9,27.6
1001+,University of Shizuoka,10.7–22.1,20.9,11.9,13.5,38.1,20.3
1001+,Showa University,10.7–22.1,30.3,8.7,20.0,36.4,16.6
1001+,Siberian Federal University,10.7–22.1,18.1,12.8,6.8,60.5,29.0
1001+,Siksha ‘O’ Anusandhan,10.7–22.1,19.1,7.9,19.9,34.7,13.1
1001+,University of Silesia in Katowice,10.7–22.1,18.1,8.8,18.9,34.5,26.0
1001+,Silesian University of Technology,10.7–22.1,16.4,9.3,31.7,36.9,16.0
1001+,Silpakorn University,10.7–22.1,15.5,8.3,13.6,39.9,27.5
1001+,Simón Bolívar University,10.7–22.1,16.9,9.9,13.8,61.1,45.9
1001+,Slovak University of Technology in Bratislava,10.7–22.1,22.5,12.4,9.8,37.1,27.8
1001+,Sofia University,10.7–22.1,20.7,9.6,14.2,35.3,43.7
1001+,Sohag University,10.7–22.1,13.8,7.4,35.3,34.7,43.5
1001+,University of Sonora,10.7–22.1,13.9,7.4,9.2,34.5,28.2
1001+,Soongsil University,10.7–22.1,20.8,10.7,15.2,36.1,25.7
1001+,Sophia University,10.7–22.1,21.6,11.6,14.3,36.0,40.3
1001+,University of Sousse,10.7–22.1,22.7,7.8,13.6,34.4,36.1
1001+,University of South Africa,10.7–22.1,22.1,19.1,15.0,35.2,43.7
1001+,University of South China,10.7–22.1,19.2,9.7,10.9,38.3,14.7
1001+,Southern Federal University,10.7–22.1,20.4,10.0,20.4,41.9,27.1
1001+,Southern Medical University,10.7–22.1,27.2,12.2,24.9,39.5,23.5
1001+,South Ural State University,10.7–22.1,16.1,10.5,20.7,39.5,20.0
1001+,South Valley University,10.7–22.1,12.8,7.9,37.8,34.6,45.7
1001+,University of South Wales,10.7–22.1,16.2,9.2,27.9,34.9,64.0
1001+,Southwest Jiaotong University,10.7–22.1,17.9,16.6,20.8,81.0,24.3
1001+,Srinakharinwirot University,10.7–22.1,19.9,8.4,12.6,40.6,20.9
1001+,SRM Institute of Science and Technology,10.7–22.1,16.9,8.2,18.1,34.6,18.1
1001+,Universidade Estadual de Maringá,10.7–22.1,19.6,10.0,8.8,34.7,17.4
1001+,State University of Ponta Grossa,10.7–22.1,17.6,8.5,26.5,34.4,18.4
1001+,State University of Santa Cruz,10.7–22.1,27.4,7.6,8.5,35.7,23.4
1001+,St Petersburg Electrotechnical University (LETI),10.7–22.1,19.8,13.0,20.5,54.7,32.6
1001+,Süleyman Demirel University,10.7–22.1,11.2,8.4,11.5,34.5,17.6
1001+,Sumy State University,10.7–22.1,19.8,10.0,13.3,37.8,39.8
1001+,Suranaree University of Technology,10.7–22.1,19.7,12.3,27.0,44.5,32.1
1001+,SWPS University of Social Sciences and Humanities,10.7–22.1,15.1,12.3,21.0,34.5,51.8
1001+,Szent István University,10.7–22.1,16.5,10.5,17.8,35.4,40.1
1001+,University of Talca,10.7–22.1,15.3,11.2,27.5,44.7,49.5
1001+,Tamil Nadu Agricultural University,10.7–22.1,23.5,8.9,2.7,40.5,14.8
1001+,Tamkang University,10.7–22.1,16.4,13.0,12.8,35.9,30.2
1001+,University of Tarapacá,10.7–22.1,12.7,13.7,10.8,34.4,50.2
1001+,Taras Shevchenko National University of Kyiv,10.7–22.1,23.5,9.8,8.3,35.0,31.5
1001+,Technical University of Cluj-Napoca,10.7–22.1,15.2,9.9,16.9,35.2,21.5
1001+,Technical University of Košice,10.7–22.1,20.8,12.5,10.2,44.0,27.6
1001+,Technical University of Liberec,10.7–22.1,19.8,11.9,5.9,40.5,38.8
1001+,"University of Technology, Iraq",10.7–22.1,20.5,6.9,20.3,34.6,37.5
1001+,Universiti Teknologi MARA,10.7–22.1,18.1,12.8,10.9,34.7,18.3
1001+,Institut Teknologi Sepuluh Nopember,10.7–22.1,19.6,11.1,23.4,62.6,34.7
1001+,Texas State University,10.7–22.1,17.4,14.3,27.3,36.4,30.4
1001+,Thammasat University,10.7–22.1,18.6,11.7,11.7,38.9,34.4
1001+,University of Abou Bekr Belkaïd Tlemcen,10.7–22.1,29.1,8.8,5.6,34.8,37.0
1001+,TOBB University of Economics and Technology,10.7–22.1,15.7,11.1,23.4,35.3,24.9
1001+,Toho University,10.7–22.1,21.7,13.5,25.8,39.1,17.3
1001+,Tokai University,10.7–22.1,18.9,9.7,20.8,36.8,23.4
1001+,Tokat Gaziosmanpaşa University,10.7–22.1,13.1,7.7,17.8,34.6,16.6
1001+,Tokushima University,10.7–22.1,26.5,19.1,15.0,55.1,22.6
1001+,Tokyo University of Agriculture,10.7–22.1,16.0,9.8,10.5,36.4,19.1
1001+,Tokyo City University,10.7–22.1,16.7,10.3,6.8,41.6,19.0
1001+,Tokyo Denki University,10.7–22.1,15.2,9.3,3.4,39.6,17.7
1001+,Tokyo University of Marine Science and Technology,10.7–22.1,24.3,13.9,10.4,47.7,33.3
1001+,Tomas Bata University in Zlín,10.7–22.1,18.7,17.4,12.6,37.2,42.0
1001+,Tottori University,10.7–22.1,21.6,10.8,12.4,37.3,19.9
1001+,University of Toyama,10.7–22.1,21.1,13.0,20.3,44.4,27.3
1001+,Toyo University,10.7–22.1,15.0,8.7,6.6,35.3,30.8
1001+,Toyohashi University of Technology (TUT),10.7–22.1,21.9,16.7,16.3,51.1,26.0
1001+,Tribhuvan University,10.7–22.1,11.4,6.9,30.8,34.4,45.8
1001+,Tunghai University,10.7–22.1,15.0,12.6,10.6,37.7,34.6
1001+,University of Tunis El Manar,10.7–22.1,25.6,9.9,18.3,34.5,40.8
1001+,Tzu Chi University,10.7–22.1,20.0,14.1,15.1,39.1,20.3
1001+,Ufa State Aviation Technical University,10.7–22.1,20.7,7.6,10.5,34.5,19.0
1001+,Unisinos University,10.7–22.1,18.4,10.0,21.5,46.3,19.7
1001+,Ural Federal University,10.7–22.1,23.8,17.0,12.5,51.1,44.6
1001+,Urmia University,10.7–22.1,20.0,12.9,18.3,38.1,14.9
1001+,Utsunomiya University,10.7–22.1,18.0,10.3,6.0,36.6,22.8
1001+,University of Valladolid,10.7–22.1,21.7,11.8,23.1,38.1,37.7
1001+,University of Valparaíso,10.7–22.1,16.7,9.7,18.4,34.5,48.7
1001+,"University of Veterinary and Animal Sciences, Lahore",10.7–22.1,14.5,10.3,8.5,42.2,36.5
1001+,Vietnam National University (Ho Chi Minh City),10.7–22.1,14.1,8.7,16.0,42.8,40.3
1001+,Vilnius Gediminas Technical University,10.7–22.1,16.2,12.4,31.7,40.7,39.6
1001+,V.N. Karazin Kharkiv National University,10.7–22.1,20.6,9.3,9.0,34.6,49.9
1001+,Volgograd State Technical University,10.7–22.1,15.1,9.2,21.9,43.2,19.4
1001+,Voronezh State University,10.7–22.1,21.1,8.7,4.2,35.3,25.9
1001+,VSB - Technical University of Ostrava,10.7–22.1,18.6,13.2,10.1,41.4,38.9
1001+,Warsaw University of Technology,10.7–22.1,19.2,11.8,30.7,39.8,25.1
1001+,Wenzhou Medical University,10.7–22.1,16.7,12.7,28.0,37.7,24.2
1001+,University of West Bohemia,10.7–22.1,18.1,15.7,16.7,39.1,29.8
1001+,Universidade Estadual do Oeste do Paraná (Unioeste),10.7–22.1,18.8,10.7,4.0,34.9,15.2
1001+,West University of Timişoara,10.7–22.1,17.9,9.2,11.9,35.5,28.0
1001+,Wrocław University of Science and Technology,10.7–22.1,16.6,10.8,21.3,38.9,21.0
1001+,Yamagata University,10.7–22.1,21.8,12.2,17.7,50.6,22.3
1001+,Yamaguchi University,10.7–22.1,20.8,12.5,14.9,42.3,25.2
1001+,University of Yamanashi,10.7–22.1,24.0,10.7,25.6,36.8,21.6
1001+,Yanshan University,10.7–22.1,17.5,11.2,14.9,50.6,15.9
1001+,Yarmouk University,10.7–22.1,19.4,8.3,7.1,35.6,48.7
1001+,Yazd University,10.7–22.1,16.6,14.4,16.1,36.9,16.6
1001+,Yeditepe University,10.7–22.1,18.8,12.2,11.9,68.0,19.6
1001+,Yıldız Technical University,10.7–22.1,15.4,12.9,23.0,45.6,21.1
1001+,Yokohama National University,10.7–22.1,22.7,16.5,16.2,49.1,26.7
1001+,Yuan Ze University,10.7–22.1,17.3,13.9,15.5,47.0,28.3
1001+,Zagazig University,10.7–22.1,13.6,7.7,29.6,34.4,38.8
1001+,University of Zagreb,10.7–22.1,17.8,12.9,25.3,37.4,33.0
1001+,University of Zanjan,10.7–22.1,17.0,12.3,28.5,43.8,18.7
1001+,Zhejiang University of Technology,10.7–22.1,16.7,14.2,32.3,51.4,24.4
